uuid,properties.name,properties.identifier.permalink,properties.identifier.image_id,properties.identifier.uuid,properties.identifier.entity_def_id,properties.identifier.value,properties.primary_job_title,properties.description,properties.primary_organization.permalink,properties.primary_organization.image_id,properties.primary_organization.uuid,properties.primary_organization.entity_def_id,properties.primary_organization.value,properties.gender
df4c8ab7-66d0-90ad-5bb4-6b628f68fb2d,Howard Boville,howard-boville,v1449353244/dqw9vbx6sydp08kojywz.jpg,df4c8ab7-66d0-90ad-5bb4-6b628f68fb2d,person,Howard Boville,Head of IBM Hybrid Cloud Platform,Howard Boville is the Head of IBM Hybrid Cloud Platform.He attended University of Leeds.,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
69a5ab85-3126-5885-bde8-190521a8fcf6,Colleen Arnold,colleen-arnold,v1397182390/b8bb4e2d689a07afdf19e3e5df6b421b.jpg,69a5ab85-3126-5885-bde8-190521a8fcf6,person,Colleen Arnold,"Senior Vice President, Sales & Distribution","Ms. Arnold is Senior Vice President, Application Management Services, which provides clients with an integrated approach to managing their applications portfolios.  

In her role, Ms. Arnold is responsible for the revenue, profit and growth of IBM’s Application Management Services (AMS) business worldwide. She also leads the ongoing build-out and execution of IBM’s Globally Integrated Capability model, which includes the GBS global delivery strategy, global centers of delivery and centers of competency, solutions asset development centers and other capabilities -- all designed for the benefit of IBM’s clients. 

Ms. Arnold is a member of IBM’s Performance Team of senior executive leaders and has served on rotational assignments as a member of the IBM Chairman’s Strategy Team and IBM’s Technical Leadership Team. She brings more than twenty-five years of global leadership and IT client knowledge to her current position. 

Prior to her current role, Ms. Arnold was General Manager, GBS Strategy, Global Consulting Services & SOA, Global Industries and Global Application Services.  In that role, she was responsible for the development of the GBS strategy, as well as building and executing the organization’s industry capabilities and programs.

In addition, she was the global leader for IBM’s consulting services organization and was responsible for the development and rollout of industry-specific solutions.

She also led Global Application Services, where she managed the end to end sales and delivery of IBM’s Application Services offerings and was responsible for revenue, profit and client satisfaction worldwide.  

As the IBM General Manager of Northeast Europe, including U.K., Ireland, Nordic countries, Germany, Switzerland, Austria, as well as Eastern Europe, Russia, the Middle East and South Africa, Ms. Arnold was responsible for the revenue, profit, and client satisfaction for the full range of IBM's information technology products, services and solutions. She and her organization worked with corporations, government agencies, educational institutions and small businesses to help them achieve competitive advantage through innovative technology solutions. 

In other IBM roles, Ms. Arnold has held positions delivering worldwide revenue, profit, and client satisfaction of IBM clients in telecommunications, media and entertainment, and energy and utility industries. She also led IBM’s efforts in the emerging business areas of wireless computing and digital media. 

As General Manager, IBM Global Services Australia and New Zealand, she was also responsible for revenue, profit and client satisfaction, and she led a team which delivered the integrated technology and systems for the Sydney 2000 Olympic Games.

In addition, she was also chief executive, IBM Global Services Australia, a joint venture between IBM, Telstra, and Lend Lease. Her division of 10,000 professionals delivered solutions to the telecommunications, utilities, finance, and government industries. 

Ms. Arnold played a key role preparing IBM clients for the Year 2000 transition as general manager, Global Year 2000 Services, Distribution Industry and Computer Services. At the same time, she was responsible for IBM’s outsourcing and systems integration services in retail and distribution, travel and transportation, and computer services industries. 

Ms. Arnold serves on the Board of Directors for Cardinal Health, a global provider of products and services that improve the safety and productivity of health care.  In that capacity, she serves on the Governance and Nominating committee, and she has also served on the company’s Audit committee and its Human Resources and Compensation committee.

Ms. Arnold began her career with IBM in 1981 in various positions in the northeast United States serving distribution and insurance clients.

She holds an MBA from Syracuse University and a BS in business from Nazareth College, both in New York State.

She serves on the board at the School of Management, Syracuse University. She is married and has two children.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,female
31dbdc8e-795c-257c-1a97-6fe13a9a8d47,Arvind Krishna,arvind-krishna,v1486862901/ebnz2hxrxbsxxxr7iqlw.png,31dbdc8e-795c-257c-1a97-6fe13a9a8d47,person,Arvind Krishna,Chairman,Arvind Krishna is the chairman at IBM. Arvind Krishna attended University of Illinois Urbana-Champaign.,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
4d02a506-c92d-9699-dea1-69b6e46d5834,Ravinder Amanaganti,ravinder-amanaganti,v1494125449/uxi3d06zs5cup1ydz6ly.png,4d02a506-c92d-9699-dea1-69b6e46d5834,person,Ravinder Amanaganti,"Vice President/General Manager, Networking and Security, IBM Cloud Platform",,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
bcfe3dbf-ccab-24d5-6cde-28deb5933824,John E. Kelly III,john-e-kelly-iii,v1397180616/4546c4618f4de6a8a3bc3ec1f70365ed.jpg,bcfe3dbf-ccab-24d5-6cde-28deb5933824,person,John E. Kelly III,"Senior Vice President, Portfolio and Research","Dr. John E. Kelly III is senior vice president and director of IBM Research. In this position he directs the worldwide operations of IBM Research, with approximately 3,000 scientists and technical employees at 12 laboratories in 10 countries around the world, and helps guide IBM's overall technical strategy.

Dr. Kelly's top priorities as head of IBM Research are to stimulate innovation in key areas of information technology, and quickly bring those innovations into the marketplace to sustain and grow IBM's existing business; to create the new businesses of IBM's future, and to apply these innovations to help IBM clients succeed.

Dr. Kelly also leads IBM's worldwide intellectual property efforts. IBM has led the world in U.S. patents for 20 consecutive years, generating more than 6,000 patents in 2012 and delivering approximately $1B per year in income to its intellectual property.

Prior to beginning his current assignment in July of 2007, Dr. Kelly was senior vice president of Technology and Intellectual Property, responsible for IBM's technical and innovation strategies.

Dr. Kelly joined IBM in 1980. Between 1980 and 1990, he held numerous management and technical positions related to the development and manufacturing of IBM's advanced semiconductor technologies. In 1990, he was named director of IBM's Semiconductor Research and Development Center. Between 1994 and 2000, Dr. Kelly held several VP and GM positions across IBM's businesses. In 2000, Dr. Kelly was named senior vice president and group executive for IBM's Technology Group, where he was responsible for developing, manufacturing and marketing IBM's microelectronics and storage technologies, products and services.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
e620be4e-ea39-7eb5-12f8-80bbbb7bf102,Bernard S. Meyerson,bernard-s-meyerson,v1397182402/b473cb910881783767c44c779aeeb9b3.jpg,e620be4e-ea39-7eb5-12f8-80bbbb7bf102,person,Bernard S. Meyerson,Chief Innovation Officer,"Dr. Meyerson is Vice President for Innovation and leads IBM’s Global University Relations Function. In that role he leads the creation of major IBM collaborative initiatives with companies and governments around the globe. He is also responsible for the IBM Academy, a self-governed organization of ~1000 technical executives and senior technical leaders from across IBM, this role focused on creating IBM’s next generation of executive technical leaders having a strong component of associated business skills. Dr. Meyerson was appointed to this position in October 2009. Dr. Meyerson is also a member of CEO Ginni Rometty’s Integration and Values Team, IBM’s small team of senior executives charged with integrating the business activities of IBM’s many disparate organizations and geographies.

In 1980, Dr. Meyerson joined IBM Research as a Staff member, leading the development of silicon germanium and other high performance technologies over a period of 10 years.  

In 1992, Dr. Meyerson was appointed IBM Fellow by IBM’s Chairman, this being IBM’s highest technical honor.

In 2001, he was appointed Chief Technologist of IBM’s Technology Group, and in 2003 he assumed operational responsibility for IBM’s global Semiconductor R&D efforts. In that role Dr. Meyerson led the world’s largest semiconductor development consortium – members being IBM, Sony, Toshiba, AMD, Samsung, Chartered Semiconductor, and Infineon. Dr. Meyerson also was VP of Strategic Alliances and CTO for the IBM Systems and Technology group, inclusive its M&A practice.  

Dr. Meyerson is a Fellow of the American Physical Society and the Institute of Electrical and Electronics Engineers, Inc. (IEEE).

He is also a member of the National Academy of Engineering. He has received numerous technical and business awards for his work, which include: the Materials Research Society Medal, the Electrochemical Society Electronics Division Award, the IEEE Ernst Weber Award, the Electron Devices Society J. J. Ebers Award, and the 2007 Lifetime Achievement Award from SEMI. He was most recently announced as having won the 2011 Pake Prize of the American Physical Society, honoring him for his combined original scientific research and subsequent leadership in managing a major business for IBM.  

Dr, Meyerson has a long record of service as an senior advisor to governments around the world, advising them on both R&D management as well as that of their commercial holdings.

In 2005, working with then CFO Chia Song Hwee, Dr. Meyerson created the long-running technology co-development effort between Singapore’s Chartered Semiconductor and IBM. He similarly advised Singapore’s I2R Institute over the past 8 years.

Dr. Meyerson currently serves on two Presidential Committees launched by the US National Academy of Sciences, the Board on Global Science and Technology, and the National Research Council Board Reviewing Best Practices in Assessing R&D Organizations. The later is a critical assessment of the metrics now required to do more comprehensive assessments of United States National Laboratories and the efficacy of the national investment therein.

He has also served as advisor to the Ministry of Education, Technology, and Industry(METI) in Japan, recently leading joint efforts to reform R&D practices and National investments in Tsukuba, Japan. He similarly serves as IBM’s Partnership Executive for Japan, working to align with and aid IBM’s partner companies in Japan as they recover from the natural disaster and its consequences from the prior year.  

Dr. Meyerson and his team was the subject of a long-running study on the topic of innovation in large organizations, culminating in the 2001 Harvard Business School Press publication titled: “Radical Innovation; How Mature Companies Can Outsmart Upstarts.” More recently, a formal business case study of what has now evolved into IBM’s Global Strategy of Collaborative Innovation was featured as part of Harvard Business School’s 100th anniversary event in March of 2008, and the underlying case is now taught as part of the HBS MBA curriculum since January 2009.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
9e345dc8-265b-2507-4ca8-c55a441df1d3,James Whitehurst,jim-whitehurst,v1451936099/c4jwtkjxrmbefwc569ha.png,9e345dc8-265b-2507-4ca8-c55a441df1d3,person,James Whitehurst,President,"James Whitehurst is President and Chief Executive Officer at Red Hat, the world’s leading provider of open source enterprise IT products and services. Whitehurst is an avid advocate for open software as a catalyst for business innovation. With a background in business development, finance and global operations, Whitehurst has proven expertise in helping companies flourish—even in the most challenging economic and business environments. Since joining in January, 2008, Jim has more than doubled the company’s revenue. Under Jim's leadership, Red Hat was named to Forbes’ list of “The World’s Most Innovative Companies” in 2015, 2014 and 2012; added to Standard and Poor’s (S&P) 500 stock index in 2009 and named one of the best places to work by Glassdoor in 2014. 

In June 2015, Jim published a book with Harvard Business Review Press entitled ""The Open Organization: Igniting Passion and Performance"" showing how open principles of management—based on transparency, participation, and community—can help organizations navigate and succeed in a fast-paced connected era. 

Prior to joining Red Hat, Jim served as the Chief Operating Officer of Delta Air Lines, Inc. from July 2005 to August 2007, as Senior Vice President and Chief Network and Planning Officer from May 2004 to July 2005 and as Senior Vice President—Finance, Treasury and Business Development from January 2002 to May 2004. 

Prior to joining Delta, Jim was a Partner and Managing Director at The Boston Consulting Group. 

Jim also serves as a Member of the Board of Directors at DigitalGlobe, Inc. (NYSE:DGI), a builder and operator of satellites for digital imaging. 

Jim holds a Bachelor of Arts in Economics and Computer Science from Rice University, a General Course Degree from the London School of Economics and a Master of Business Administration from Harvard Business School.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
d261596d-74ea-e4fa-9b06-b8edaab38659,Claude Guay,claude-guay,v1495171177/itk9r5irazihl3ynkajf.png,d261596d-74ea-e4fa-9b06-b8edaab38659,person,Claude Guay,"President and General Manager, IBM Canada","With a sound strategy in one hand, and innovative technology in the other, Claude Guay loves wrangling a business problem. Claude possesses extensive C-level experience devising and deploying high-impact growth strategies that lead to the adoption of emerging technologies. A pioneer in digital reinvention, he has 30-plus years of expertise in business development, sales, marketing and customer service. An entrepreneurial leader with a solid track record of assessing global organizations, Claude creates strategic plans, optimizes structures and implements innovative solutions at everything from small venture-backed companies to large public enterprises.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
ba118aa4-af8d-9cda-ac65-7c618c696db0,Bridget van Kralingen,bridget-van-kralingen,m1hkg7fzdins7a1fd7t9,ba118aa4-af8d-9cda-ac65-7c618c696db0,person,Bridget van Kralingen,Senior Vice President Global Markets,"Bridget van Kralingen is Senior Vice President, IBM Global Business Services, responsible for the strategy, execution and business results of IBM’s consulting, systems integration and application management services across more than 170 countries. GBS has more than 100,000 consultants and practitioners creating value at the intersection of business insight and information technology for clients in all major industries.

Previously, Bridget was General Manager, IBM North America, responsible for revenue, profit and client satisfaction for the full range of IBM's business in the United States and Canada. Before that, she led Global Business Services in Northeast Europe, Middle East and Africa.

Bridget brings more than 20 years consulting experience to her current role.

She joined IBM in April 2004 as global Managing Partner of the Financial Services Sector, following more than 20 years at Deloitte Consulting, where she was Managing Partner of the Financial Services Sector. She is a trained psychologist and began her career as a researcher at the Council for Scientific and Industrial Research.

Bridget is a member of the Board of Directors of the Royal Bank of Canada. She also serves on the advisory board of Catalyst, a not-for-profit organization dedicated to expanding opportunities for women in business.

In addition, Bridget sponsors IBM’s pro-bono initiative in microfinance, which has created a cloud-based microfinance technology platform for Latin America and an open source microfinance core banking application with the Grameen Foundation. The initiative has also designed loan products and the operating model for microfinance in South Africa. 

In 2011 and again in 2012, Bridget was named to Fortune’s ""50 Most Powerful Women in Business"" list. She was named by Euromoney magazine as one of the 100 most influential people in Finance in 2005 and one of Consulting Magazine’s Top 25 Consultants for 2006.

She holds a Masters of Commerce degree from the University of South Africa and Bachelors of Commerce degree from the University of Witwatersrand.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,female
fcbc6790-8998-90ff-5957-007118119ff4,Daniel V. Figueirido,daniel-v-figueirido,v1453019391/qm5yt2eqldfqsutns9ot.png,fcbc6790-8998-90ff-5957-007118119ff4,person,Daniel V. Figueirido,Vice President & Managing Partner - IBM Services Spanish South America,,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
655b0231-90b2-a0bc-87b5-f3de4cb0221b,Duffy Gaynor,duffy-gaynor,v1416638826/iphv9rcfkwn6362mydit.png,655b0231-90b2-a0bc-87b5-f3de4cb0221b,person,Duffy Gaynor,Vice President-GTS and Senior Location Executive,,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
c6469259-8953-b5e4-c28c-a4b63b454c55,Bob Lord,bob-lord,v1421912574/gp8ofyi7xdnhu4i9ag6h.jpg,c6469259-8953-b5e4-c28c-a4b63b454c55,person,Bob Lord,Senior Vice President,"Bob Lord, is IBM's first Chief Digital Officer where he is now missioned with bringing together the IBM Digital Business Group. He is responsible for overseeing the Digital Sales organization, Digital Marketing, Routes to Market and Offering teams, and IBM's Ecosystem and Startup group.

Bob has had an incredible career and brings a wealth of technical and marketing experience to the role as IBM Chief Digital Officer. He held leadership roles at Razorfish, one of the early web design and digital agencies, helping them manage through the internet bubble and ultimately rising to be the Global CEO. During this time, he honed his understanding and vision for the convergence of marketing and technology.

In 2013, Bob joined AOL as CEO of its flagship technology group, AOL Platforms - used by over 2,500 brands and agencies and over 40,000 publishers rely on to drive convergence. From January 2015 through January 2016, Bob served as President of AOL, overseeing the Company's unified global advertising operations.

Bob holds an MBA from Harvard Business School and a BS in engineering from Syracuse University. He's authored a book, titled Converge, which you can find on Amazon, in which he shares his unique perspective about the intersection of technology and marketing. He is an active member of the TED community and a founding member of The Nantucket Project. Bob enjoys biking, surfing, competing in triathlons and spending time with his family.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
4ed81577-b943-576b-86e7-3886d7ef26db,Ken Keverian,ken-keverian,v1460528768/xglbhjrtl44picvdqum9.png,4ed81577-b943-576b-86e7-3886d7ef26db,person,Ken Keverian,"Senior Vice President, Corporate Strategy","Ken Keverian leads IBM’s Corporate Strategy organization, reporting to Chairman, President and Chief Executive Officer Ginni Rometty. His team is responsible for developing strategies for a new era of computing. These strategies bring together emerging opportunities and business models that IBM can pursue for profitable growth, and integrates them with execution strategies across all of IBM’s business units.
Mr. Keverian is the chair of IBM's Strategy Team, a senior executive group focused on assessment and analysis of strategic issues across the business and driving alignment and integration within IBM.
Mr. Keverian joined IBM in April 2014 from The Boston Consulting Group (BCG), where he was a Senior Partner. During his more than 25-year career there, he focused on serving technology companies in the computing and communications sectors. He led BCG's efforts in serving IBM for over two decades. This work spanned nearly all of IBM's brands and functions and focused on growth opportunities as well as process excellence. 
Prior to joining BCG, Mr. Keverian spent seven years at AT&T Bell Laboratories, where he was a product design manager and recipient of numerous patents. He received SB and SM degrees in electrical engineering and computer science as well as an SB degree in mathematics from MIT. He also holds a MBA from the Harvard Business School, where he was a Baker Scholar.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
a3589e9a-ff34-832b-bc5c-4f58ef717c46,Todd Simmons,todd-simmons-3,v1445665507/zlj27fiif20ted8vwpog.jpg,a3589e9a-ff34-832b-bc5c-4f58ef717c46,person,Todd Simmons,"Vice President, Brand Experience and Design",,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
d74dc9be-ccff-f830-9ca7-54e0722f7d8b,Timothy S. Shaughnessy,timothy-s-shaughnessy,v1397182406/84f4cdb6b5a1b7b18fa0e9a4bbb6c42d.jpg,d74dc9be-ccff-f830-9ca7-54e0722f7d8b,person,Timothy S. Shaughnessy,"Senior Vice President, Services Delivery, IBM Global Technology Services","Tim Shaughnessy has worldwide responsibility for the workforce and operations supporting the delivery of IBM IT outsourcing and business process services. He is also responsible for ensuring a tight integration between sales and delivery in GTS to drive end-to-end service quality and excellence for our clients.  

Prior to his current role, Tim served as Vice President and Controller for IBM. As Controller, Tim was responsible for IBM’s accounting, budgeting, controls and financial strategy development. While in this role, Tim led the establishment of centers of excellence within finance as part of the company-wide shared services efforts. 

From 2002 to 2004 Tim was the General Manager, IBM Global Services -- Asia Pacific, responsible for all services businesses in this geography. A critical market because of IBM’s presence there and growth opportunity, Tim led the business and drove services revenue and profit growth. 

Tim joined IBM in 1981 as a financial analyst. Following a number of planning, analysis and pricing assignments, he held a wide variety of financial leadership positions across services, sales, and manufacturing and development.  

Tim received a Masters of Business Administration-Finance from New York University.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
cec4f31d-135b-49d1-9537-570c01b6b45f,Patama Chantaruck,patama-chantaruck,cagdgsodxnb2qymmj4yt,cec4f31d-135b-49d1-9537-570c01b6b45f,person,Patama Chantaruck,VP for Indochina Expansion and MD of IBM Thailand,,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,female
9967bd12-06b5-4ac2-aa98-abc39cb74011,Henrik Bodskov,henrik-bodskov,dpsyaekklop8ajtxypbg,9967bd12-06b5-4ac2-aa98-abc39cb74011,person,Henrik Bodskov,"CEO ,General Manager IBM Denmark","Henrik has worked for IBM since 2002.Henrik has a significant experience form the IT and consulting industry – Henrik started his career as management consultant in PWC in 1989 and was appointed partner in 1999. Henrik joined IBM in 2002, when IBM acquired PWC.

Henrik has since 2002 held several senior management positions within IBM;

Covering service offerings like CRM and analytics – leading the CRM services in Nordics and new digitalization in Public sector across EMEA  – Henrik has been leading several industry plays in public sector e.g. Postal monitoring, analytics and quality improvement projects across Europe and lead qualifying for the congesting charging system in Stockholm.

Henrik also has significant experience in the financial sector – Leading our consulting practice for financial sector in the Nordics – leading several significant strategy and transformation projects. Among the projects Henrik lead one of the largest and most successful transformation/projects in Denmark for a leading Insurance and pension company – Building a complete new core insurance system.

From 2009 to 2013 Henrik has been working with IT services and infrastructure – Leading the Danish IBM strategic outsourcing unit – the market leader in Denmark operating the infrastructure for most of the leading and biggest companies and institutions in Denmark.

From 2013 – 2015 Henrik has been General Manager for the company Nordic Processor (A joint venture owned by Nordea and IBM) Henrik has lead the transformation and changed the Joint venture with more than 750 employees into a new model going forward providing the services from Nordea and IBM

Since October 2015 Henrik has been General manager for IBM Denmark  – IBM Denmark is one of the leading IT companies in Denmark

Henrik has general experience in almost all aspects of sales, delivery and general management always with a strong focus on customers, people and new technology. Since 2011 Henrik has been a member of the executive management team of IBM Denmark.

Henrik is a frequent speaker at external conferences and events mainly on the topics of Strategy, go to market strategies, Performance Management, Leadership and Security.

Henrik holds a strong and broad network across the Danish business society. Holding board positions Danish Industry Association  (Digital and Health) Member of the SIRI commission a forum outlining the future digitalization and impact on the Danish Society

Henrik has been lecturing at Copenhagen Business School (Bachelor and Master Level) in the period from 1990 to 2010 and still have occasionally lecturing – Henrik holds a Master’s degree in Strategy, Analytics and Management from Copenhagen Business School. Further to this Henrik holds a diploma graduate in management from SIMI management institute.

Privately Henrik is married with Inge Harting Bodskov, CFO, Loxam Denmark – lives in Hareskovby, Copenhagen with their two children Anna 15 and Peter 20 – Plays soccer and tennis / enjoy time with family and friends.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
697d588d-fab1-4d09-be0b-6a27cd785a28,Nipun Mehrotra,nipun-mehrotra,g64papv0az4j9blx9lvp,697d588d-fab1-4d09-be0b-6a27cd785a28,person,Nipun Mehrotra,Chief Digital Officer,Nipun Mehrotra serves as the Chief Digital Officer at IBM India Private Limited.,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
ea7401bd-b882-805a-148b-0ff9732a798e,Rene Bostic,rene-bostic,hmi9aaxevemmqtj7slcj,ea7401bd-b882-805a-148b-0ff9732a798e,person,Rene Bostic,VP of Innovation and New Technologies,"René Bostic is the Technical Vice President of Innovation and New Technologies for IBM Cloud. She is an expert in cloud computing, DevOps and emerging cloud technologies to include Blockchain. Cloud Expo named René a faculty member for both their 2017 & 2018 Conferences. In addition, she was a speaker at the O'Reilly Software Architecture Conference (New York), Cloud Expo Europe (London), AdTech (London), Blockchain & Bitcoin Conference Germany (Berlin), Blockchain & Bitcoin Conference Russia (Moscow), Blockchain & Bitcoin Conference Prague (Czech Republic), Armenia Blockchain Forum (Yerevan, Armenia), Blockchain Shift (Miami, Florida) and IBM Think Roadshows (USA/Canada). René is a member of the Society of Women Engineers (SWE) and a member of the Society of Information Management (SIM).",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,female
f47faaab-9f0e-bc21-09ff-49077de28d3c,James Kavanaugh,james-kavanaugh,v1460377311/jcqfghwgqz3ubwkx13jw.png,f47faaab-9f0e-bc21-09ff-49077de28d3c,person,James Kavanaugh,"Senior Vice President, Transformation and Operations","James J. Kavanaugh is Senior Vice President, Transformation and Operations.  He was appointed to this new position in January 2015.  Mr. Kavanaugh reports to Chairman, President and Chief Executive Officer Ginni Rometty.  
Mr. Kavanaugh is responsible for creating an operating model which will allow IBM to align to fundamental market shifts while driving speed and agility.  His global team brings together key functions essential to the IBM transformation, including the Business Architecture and Transformation Office, the company’s CIO Office, Chief Data Office, Client Advocacy and Global Procurement and Real Estate Operations as well as other shared enterprise services.  He is a member of the IBM Operating Team, responsible for day-to-day marketplace execution.
Prior to this role, Mr. Kavanaugh was IBM Controller from May 2008 until January 2015.  Before that, he was vice president of finance and operations for IBM’s Sales & Distribution division.  He held this position from January 2006 through May 2008.
In May 2004, Mr. Kavanaugh was named vice president of finance and operations for IBM’s Americas Group. In this capacity, Mr. Kavanaugh oversaw financial management and operations across the United States, Canada and Latin America.
Previously, Mr. Kavanaugh was vice president of finance and planning for IBM EMEA, located in Paris, France.  In this role he served as chief financial officer for 124 countries, responsible for all strategic and operational financial management.
Mr. Kavanaugh was also assistant controller, finance and planning, for IBM’s corporate headquarters, where he was responsible for the IBM financial forecast and measurements process.  Before this he served as director of planning and consolidation for the PC Company, responsible for strategic financial planning, forecasting and measurements.  In May 1999, Mr. Kavanaugh assumed the role of chief financial officer of IBM’s Personal Systems Group, Americas.
Mr. Kavanaugh joined IBM in 1996 from AT&T Corporation, where he was the chief financial officer, Americas Global Services.
Mr. Kavanaugh earned a Master of Business Administration from The Ohio State University",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
60361039-e367-43e3-bab4-b2f536161960,Leon Stok,leon-stok,tbuwjcmg7khlz7luyjzz,60361039-e367-43e3-bab4-b2f536161960,person,Leon Stok,VP EDA,"Leon Stok is Vice President of IBM's Electronic Design Automation group. His team delivers world-class design and verification flows and tools being used to design the world’s largest supercomputers, IBM systemZ and Power systems. Prior to this he held positions as director of EDA and executive assistant to IBM's Senior Vice President of Technology and Intellectual Property and executive assistant to IBM's Senior Vice President of the Technology group. Leon Stok studied electrical engineering at Eindhoven University of Technology, the Netherlands, from which he graduated with honors in 1986. He obtained a Ph.D. degree from Eindhoven University in 1991. At IBM's Thomas J. Watson Research Center, Leon Stok pioneered logic synthesis, as part of the team that developed BooleDozer. Subsequently, he managed IBM's synthesis group and drove the first commercial application of physical synthesis by developing IBM’s Placement Driven Synthesis tool. From 1999-2004 he led all of IBM's design automation research as the Senior Manager Design Automation at IBM Research. He drove key innovations in DFM using RRR (Radically Restrictive Rules) in static timing analysis using statistical timing and in large block physical synthesis. Dr. Stok has presented over sixty keynotes, invited talks and tutorials at major IEEE and ACM conferences worldwide and at many leading universities. Dr. Stok has published over sixty papers on many aspects of high level, architectural and logic synthesis, low power design, placement driven synthesis and on the automatic placement and routing for schematic diagrams. He holds 13 patents in EDA. He was elected an IEEE fellow for the development and application of high-level and logic synthesis algorithms.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
0e29ef92-e1c1-47b4-9917-21a5766f348f,Steven Astorino,steven-astorino,ry6jvgw1xd9ppv7lx2w1,0e29ef92-e1c1-47b4-9917-21a5766f348f,person,Steven Astorino,Vice President of Development & Data and AI and Canada Lab Director,,ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
c8d74433-2f9b-7be6-9bc9-0d89fafa9beb,Mark Foster,mark-foster-4,v1461576362/xzukxwh7cezyjdzahzkk.png,c8d74433-2f9b-7be6-9bc9-0d89fafa9beb,person,Mark Foster,SVP IBM Services & Global Business Services,"Mark Foster is Senior Vice President, IBM Global Business Services, responsible for the strategy, client value and business performance of IBM’s consulting, systems integration, digital agency, business process outsourcing and application management services businesses across all industries.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
42e06d6e-6986-89ae-50b6-dce58310dc1d,Bradley McCredie,bradley-mccredie,v1497757606/feuoq02om9pm3waro3bg.png,42e06d6e-6986-89ae-50b6-dce58310dc1d,person,Bradley McCredie,VIce President,"Bradley McCredie is the Vice President of IBM Power Systems Development, an IBM Fellow, one of the original founders of the OpenPOWER Foundation and a current OpenPOWER Foundation Board Advisor. 

In his current position as Vice President of IBM Power Systems Development, Brad oversees the global development and delivery of IBM Power Systems and Cognitive System solutions. His responsibilities span system hardware, software, solutions, and ecosystem development, incorporating the latest technology advancements to support clients changing business needs. 

Since his role as co-founder of the OpenPOWER foundation with 4 initial founding members, he has overseen the growth to over 300 members and has also seen the introduction of the OpenCAPI Consortium, furthering the industry efforts to open up the server bus for coherent acceleration and contributing to the overall open ecosystem. 

Brad joined IBM in 1991, focusing on electromagnetic design and electronic packaging for IBM’s mainframe system then later moving to Power Systems Development. Since moving to Power Systems in 1996, Brad has held a variety of technical and executive leadership roles. Staring with his initial work on the POWER2 processor, he continues to drive Power Systems development through POWER9 today. 

Brad holds a BS, MS, and PhD degree in electrical and computer engineering from the University of Illinois.",ibm,d4c2niwf9htmk2sp1vli,fc5fbe7a-562d-d577-b05e-46797caa134c,organization,IBM,male
